app_name,date,star,avaliacoes_totais
Winker,2024-07-15,"4,7",15000
Novara Adm,2024-07-15,"5,0",8
Parceria Condomínios,2024-07-15,"4,6",36
Intuitive Condomínios,2024-07-15,"4,8",485
Sensato Condomínios,2024-07-15,"4,4",27
Parteli Gestão Predial,2024-07-15,"4,8",37
GRUPO PARADIGMA SC,2024-07-15,,
Orsegups - Meu Condomínio,2024-07-15,"4,6",2100
Zimmermann Condomínios,2024-07-15,"5,0",16
Dimas,2024-07-15,"5,0",17
Zello Administradora,2024-07-15,"5,0",9
Excel Condomínio Digital,2024-07-15,"4,8",14
Grupo LRS,2024-07-15,"4,8",130
Duocon Condomínios,2024-07-15,"5,0",17
ADC Condomínios,2024-07-15,"4,7",53
Uptime Condomínios,2024-07-15,"4,7",230
Tecad Condomínios,2024-07-15,"4,3",201
Seval Condomínios,2024-07-15,"4,6",102
Robotton line,2024-07-15,"4,6",2800
Coelho & Martins,2024-07-15,"4,7",11
Ático Contabilidade,2024-07-15,"5,0",1
Suporte Condominios,2024-07-15,"4,7",52
Taquari Condomínios,2024-07-15,"4,4",158
Khronos Condomínios,2024-07-15,"4,7",1100
Loan Condomínios,2024-07-15,"4,9",19
Grupo CMS,2024-07-15,"4,5",244
Neval Condomínios,2024-07-15,"5,0",21
Grupo SK,2024-07-15,"4,5",313
JAB Condomínios,2024-07-15,"4,7",19
Verti Administradora,2024-07-15,"4,6",222
Convivium Condomínios,2024-07-15,"4,7",149
Grupo Moraes Condomínios,2024-07-15,"4,7",149
Zafira Condomínios,2024-07-15,"4,7",231
LLOYD,2024-07-15,"4,5",510
Conviver Administradora,2024-07-15,"5,0",6
Attento Condomínios,2024-07-15,"4,8",809
InovarAlfa condomínios,2024-07-15,"4,7",18
Exacto Condomínios,2024-07-15,"4,7",467
FICAM Condomínios,2024-07-15,"4,7",149
IATE MARINE,2024-07-15,"4,9",41
Pró-Radar Portaria Virtual,2024-07-15,"4,4",37
Conecta Sistemas Inteligentes,2024-07-15,"4,3",6
Agecon Condomínios,2024-07-15,"4,6",39
Gesta Administradora,2024-07-15,"4,7",41
CGC EXCELENT,2024-07-15,"4,4",19
V.J GALLO Condomínios,2024-07-15,"4,4",41
Assecon Contabilidade,2024-07-15,"4,7",9
QUALLYGESTÃO PREDIAL,2024-07-15,"4,7",351
Adinfor Administradora,2024-07-15,"4,9",7
SOUZA & REIS,2024-07-15,"4,8",112
Adbens Condomínios,2024-07-15,"4,6",204
Zangari Condomínios,2024-07-15,"4,5",151
Seven Condominios,2024-07-15,"4,6",202
Fesan Condomínios,2024-07-15,"4,8",17
Verde Administradora,2024-07-15,"4,4",34
GRUPO REDETEL,2024-07-15,"5,0",12
CRAS SEGURANÇA E MONITORAMENTO,2024-07-15,,
Portal do Flat Accor,2024-07-15,"4,0",1
Estância Parque Atibaia,2024-07-15,"4,7",74
Linus Condominios,2024-07-15,"4,8",64
Total Garantidora,2024-07-15,"4,6",39
Villa Bella Administradora,2024-07-15,"5,0",2
Nossa Casa Administradora,2024-07-15,"4,9",10
Bersi,2024-07-15,"4,8",682
Cysne Condomínios,2024-07-15,"5,0",6
AG Alphaville,2024-07-15,"5,0",4
OMA Online,2024-07-15,"4,6",2500
Graber Portaria Digital Plus,2024-07-15,"3,6",12
Zenite Tech,2024-07-15,,
Easy Access PRO,2024-07-15,"4,5",2
Predial Ruggiero,2024-07-15,"5,0",6
GIC IMÓVEIS,2024-07-15,"5,0",5
Capbens Condominios,2024-07-15,"3,7",3
Prop Starter Online,2024-07-15,"4,8",123
Rudder Segurança,2024-07-15,"4,8",22
R3S Acesso,2024-07-15,"5,0",5
Athus Administradora,2024-07-15,"4,8",140
Smarthome-Even,2024-07-15,"4,3",49
Intuitive Tecnologia,2024-07-15,"4,8",8
DGT Administradora,2024-07-15,"4,7",160
PORTAL IM GRUPO,2024-07-15,"5,0",2
Mercúrio-APP,2024-07-15,"4,8",183
Tecmóbili Condomínios,2024-07-15,"4,7",81
NN Negócios,2024-07-15,,
Alliz Administradora,2024-07-15,"4,9",46
Administradora Angélica,2024-07-15,,
Solid Falcon,2024-07-15,,
ADK Administradora,2024-07-15,,
Grupo Evolua,2024-07-15,"5,0",28
Iepê Golf Condomínio,2024-07-15,,
RJJ SecureAccess,2024-07-15,"4,3",6
Ícone Gestão Condominial,2024-07-15,"4,8",86
JHI ADMINISTRADORA,2024-07-15,"5,0",4
Gescon Winker,2024-07-15,"5,0",4
Estanconfor Administradora,2024-07-15,,
Easy Safe Condomínios,2024-07-15,"5,0",4
Mario Dal Maso Administradora,2024-07-15,"4,5",21
Suprema Administradora,2024-07-15,"5,0",6
Gosuen Gestão Condominial,2024-07-15,"4,5",36
Avenue Condomínios,2024-07-15,,
Lagoa Iate Clube,2024-07-15,,
Kato Condomínios,2024-07-15,,
Clevertown,2024-07-15,"5,0",1
Beelive,2024-07-15,"5,0",2
Adaplan Condomínios,2024-07-15,,
Focus X Condomínios,2024-07-15,,
Dínamo,2024-07-15,"5,0",5
