app_name,plataforma,user_reviewer,date,stars,commentary,user_response,date_response,response
Orsegups - Meu Condomínio,google,Rayssa Oliveira dos Santos,27/06/2024,1,"Um péssimo aplicativo, tem que melhorar muito.",,,
Winker,google,Sólon,13/07/2024,1,"Quando me mudei e comecei a usar funcionava razoavelmente bem. Mas já faz 1 ano que não funciona. Não importa se é rede móvel ou wifi a resposta é sempre a mesma - Ops... aconteceu um erro ao se comunicar com o servidor Tente novamente. E fica repartindo isso sempre, sem funcionar.",,,
Winker,google,Wilson Queiroz,01/07/2024,5,Bom dia até agora pra mim tá bom..,Winker,12/07/2024,"Oii, Wilson,
Que maravilha esse feedback! 😄 Muito bom saber que você gostou do nosso aplicativo!
Estamos aqui para deixar sua experiência cada vez melhor.

Obrigado e abraço!"
Winker,google,Enildo Neves,27/06/2024,5,Excelente,Winker,12/07/2024,"Olá Enildo Neves,
Que legal receber seu elogio! 🌟 Ficamos muito felizes em saber que você está gostando do nosso aplicativo! Nos mostra que estamos no caminho certo."
Tecad Condomínios,google,Evaldo Piccino,27/06/2024,1,Não respondem msg com agilidade Desanimador,Tecad Condomínios,12/07/2024,"Oi, Obrigado pelo seu feedback. Lamentamos que sua experiência não tenha sido positiva. Poderia nos dar mais detalhes através do nosso canal de relacionamento?
Para facilitar nossa comunicação, esse é um número com WhatsApp, pode nos chamar no (48) 3365-2051
Estamos aqui para melhorar e queremos resolver qualquer problema que você tenha encontrado"
Khronos Condomínios,google,MATHEUS DOS SANTOS,06/07/2024,5,👍🏿,Grupo Khronos,12/07/2024,"Oii, Matheus,
Obrigado pelo seu feedback! 😄 Muito bom saber que você gostou do nosso aplicativo!
Estamos aqui para deixar sua experiência cada vez melhor.

Obrigado e abraço!"
Verti Administradora,google,Daniel Antoni KOSECKI,10/07/2024,4,Algumas funções não estão funcionando corretamente,,,
Verti Administradora,google,Josue,30/06/2024,1,"Não consigo enviar o documento para o anexo do aplicativo, fica mostrando ID da mensagem inválido. Me ajude por favor.",VERTI ADMINISTRAÇÃO,10/07/2024,"Oi Josue,
Obrigado pelo seu feedback. Lamentamos que sua experiência não tenha sido positiva. Poderia nos dar mais detalhes em nosso canal de relacionamento?
Pelo nome não encontrei você em nossa base. Para facilitar nossa comunicação, esse é um número com WhatsApp, pode nos chamar no (48) 3365-2051
Agradecemos sua paciência e esperamos seu contato"
Adbens Condomínios,google,Edson Franhani,26/06/2024,4,Fácil de manusear,ADBENS Condomínios,12/07/2024,"Olá Edson,
Que legal receber seu elogio! 🌟 Ficamos muito felizes em saber que você está gostando do nosso aplicativo! Nos mostra que estamos no caminho certo."
CRAS SEGURANÇA E MONITORAMENTO,google,Pauliana Pereira,30/06/2024,1,Nem dar pra entrar no app,CRAS Monitoramento,12/07/2024,"Oi, Obrigado pelo seu feedback. Lamentamos que sua experiência não tenha sido positiva. Poderia nos dar mais detalhes através do nosso canal de relacionamento?
Para facilitar nossa comunicação, esse é um número com WhatsApp, pode nos chamar no (48) 3365-2051
Estamos aqui para melhorar e queremos resolver qualquer problema que você tenha encontrado"
OAB - Distrito Federal,google,Jorge Amado Ribeiro Soares,11/07/2024,1,Nao sei,,,
OMA Online,google,Willis Justino,01/07/2024,5,Prático,OMA ADMINISTRAÇÃO DE IMÓVEIS E CORRETAGEM LTDA,10/07/2024,"Olá Willis Justino,
Que legal receber seu elogio! 🌟 Ficamos muito felizes em saber que você está gostando do nosso aplicativo! Nos mostra que estamos no caminho certo."
Alliz Administradora,google,Sandra Rodrigues,01/07/2024,5,Fácil e prático.,Alliz Administradora,12/07/2024,"Oii, Sandra,
Que maravilha esse feedback! 😄 Muito bom saber que você gostou do nosso aplicativo!
Estamos aqui para deixar sua experiência cada vez melhor.

Obrigado e abraço!"
Alliz Administradora,google,Ana Paula Ramos Martins Pysklyvicz,26/06/2024,3,Tem muita falha e não é pratico,Alliz Administradora,12/07/2024,"Oi, Obrigado pelo seu feedback. Lamentamos que sua experiência não tenha sido positiva. Poderia nos dar mais detalhes através do nosso canal de relacionamento?
Para facilitar nossa comunicação, esse é um número com WhatsApp, pode nos chamar no (48) 3365-2051
Estamos aqui para melhorar e queremos resolver qualquer problema que você tenha encontrado"
