app_name,data,star,avaliacoes_totais,downloads_totais
GRUPO PARADIGMA SC,2024-07-15,,0,10
Cattoni Condomínios,2024-07-15,"4,9",18,1000
Winker - Água/Gás,2024-07-15,"4,6",52,1000
Orsegups - Meu Condomínio,2024-07-15,"4,4",303,10000
Winker,2024-07-15,"4,5",2540,100000
Parceria Condomínios,2024-07-15,"3,4",5,1000
Sensato Condomínios,2024-07-15,"4,5",11,500
Liderança Condomínios,2024-07-15,,0,100
Trato Online,2024-07-15,,0,50
Parteli Gestão Predial,2024-07-15,,0,100
Portal Exato,2024-07-15,"4,6",66,1000
Intuitive Condomínios,2024-07-15,"4,5",77,5000
Novara Adm,2024-07-15,,0,10
Excel Condomínio Digital,2024-07-15,,0,500
Duocon Condomínios,2024-07-15,"4,9",9,500
CVR Condomínios,2024-07-15,"4,4",14,1000
Créditus condomínios,2024-07-15,,0,100
Ágata Condomínios,2024-07-15,"5,0",8,500
ADC Condomínios,2024-07-15,"4,7",22,1000
Dimas,2024-07-15,,0,100
Berger Condomínios,2024-07-15,"4,6",5,500
Grupo LRS,2024-07-15,"4,6",31,1000
Zimmermann Condomínios,2024-07-15,,0,100
Uptime Condomínios,2024-07-15,"4,5",17,1000
Zello Administradora,2024-07-15,,0,500
Tecad Condomínios,2024-07-15,"4,3",43,1000
Suporte Condominios,2024-07-15,"4,3",11,1000
Seval Condomínios,2024-07-15,"4,5",31,1000
Coelho & Martins,2024-07-15,"4,6",22,1000
Ático Contabilidade,2024-07-15,,0,10
Taquari Condomínios,2024-07-15,"4,3",35,1000
Robotton line,2024-07-15,"4,4",526,10000
ADFAP Condomínios,2024-07-15,,0,100
Khronos Condomínios,2024-07-15,"4,3",222,10000
Grupo Moraes Condomínios,2024-07-15,"4,9",18,1000
Zafira Condomínios,2024-07-15,"4,5",102,5000
Verti Administradora,2024-07-15,"4,7",50,5000
Grupo SK,2024-07-15,"4,6",276,10000
JAB Condomínios,2024-07-15,,0,100
Grupo CMS,2024-07-15,"4,2",73,5000
Convivium Condomínios,2024-07-15,"4,4",34,1000
Neval Condomínios,2024-07-15,"4,9",8,100
Loan Condomínios,2024-07-15,"4,8",11,500
FICAM Condomínios,2024-07-15,"4,9",27,1000
Exacto Condominios,2024-07-15,"4,6",109,5000
LLOYD,2024-07-15,"4,4",102,10000
Conviver Administradora,2024-07-15,,0,500
InovarAlfa condomínios,2024-07-15,,0,500
IATE MARINE,2024-07-15,,0,100
BLACK OFFICE CLASS,2024-07-15,"5,0",8,100
Attento Condomínios,2024-07-15,"4,7",79,5000
Gesta Administradora,2024-07-15,"4,7",7,1000
QUALLYGESTÃO PREDIAL,2024-07-15,"4,5",44,1000
CGC EXCELENT,2024-07-15,"3,2",8,500
Agecon Condomínios,2024-07-15,"4,7",10,1000
Pró-Radar Portaria Virtual,2024-07-15,"4,4",12,500
Condominium Assessoria,2024-07-15,"4,2",6,100
V.J GALLO Condomínios,2024-07-15,"4,8",12,500
SIS Check-in,2024-07-15,"4,8",19,1000
